Name,Latitude,Longitude,URL,GreenSpacePercentage,GreenSpacePercentage_Trees,GreenSpacePercentage_Grass,VegetationHealth,GreenSpaceDistribution
New York City,40.71427,-74.00597,https://hugsi.green/cities/New_York_City,23,20,3,0.64,9
Tokyo,35.6895,139.69171,https://hugsi.green/cities/Tokyo,20,14,6,0.66,5
Sydney,-33.865143,151.2099,https://hugsi.green/cities/Sydney,42,34,8,0.69,33
São Paulo,-23.5475,-46.63611,https://hugsi.green/cities/Sao_Paulo,34,24,10,0.71,18
London,51.50853,-0.12574,https://hugsi.green/cities/London,41,25,16,0.72,31
Paris,48.85341,2.3488,https://hugsi.green/cities/Paris,15,13,2,0.70,6
Singapore,1.28967,103.85007,https://hugsi.green/cities/Singapore,35,25,9,0.52,24
Toronto,43.651070,-79.347015,https://hugsi.green/cities/Toronto,33,24,10,0.68,25
